,unnamed: 0,country,total suicide rate,male rate,female rate,2022 population,average yearly temperature (1961–1990 celsius),inequality,ihdi,hdi,overall loss (%),growth since 2010,schizophrenia,bipolar disorder,eating disorders,anxiety disorders,drug use disorders,depression,alcohol use disorders,year,life ladder,log gdp per capita,social support,healthy life expectancy at birth,freedom to make life choices,generosity,perceptions of corruption,positive affect,negative affect
81,81,Yemen,5.8,7.0,4.6,33696614,23.85,139,0.321,0.47,31.7,0.012,0.23,0.75,0.13,4.93,0.31,5.04,0.4,2019,4.197,,0.87,57.5,"0,651",,"0,798","0,543","0,213"
82,82,Turkmenistan,5.7,8.8,2.7,6430770,15.1,85,0.586,0.715,18.0,0.095,0.3,0.54,0.16,2.49,0.55,3.25,2.82,2019,5.474,"9,651",0.982,62.6,"0,892","0,285",,"0,510","0,183"
83,83,Rwanda,5.6,8.2,3.0,13776698,17.85,123,0.387,0.543,28.7,0.077,0.22,0.61,0.1,3.77,0.44,5.25,3.0,2019,3.268,"7,708",0.489,61.7,"0,869","0,064","0,168","0,736","0,418"
84,84,Madagascar,5.5,7.6,3.4,29611714,22.65,121,0.39,0.528,26.1,0.028,0.22,0.61,0.09,4.07,0.35,4.87,1.38,2019,4.339,"7,406",0.701,59.5,"0,550","-0,012","0,720","0,723","0,304"
85,85,Ethiopia,5.4,7.7,3.1,123379924,22.2,129,0.348,0.485,28.2,0.071,0.22,0.63,0.09,3.54,0.34,4.74,2.65,2019,4.1,"7,705",0.748,59.0,"0,754","0,053","0,732","0,631","0,283"
86,86,Malawi,5.4,9.2,1.7,20405317,21.9,133,0.345,0.483,28.6,0.053,0.21,0.59,0.08,3.96,0.35,4.22,1.52,2019,3.869,"6,966",0.549,58.3,"0,765","0,004","0,680","0,537","0,348"
87,87,Laos,5.4,7.6,3.2,7529475,22.8,108,0.461,0.613,24.8,0.046,0.29,0.34,0.1,4.75,0.48,2.85,0.87,2019,5.197,"8,965",0.729,59.1,"0,906","0,061","0,620","0,878","0,306"
88,88,Comoros,5.4,7.0,3.8,836774,25.3,143,0.303,0.554,45.3,0.010,0.23,0.63,0.09,3.68,0.35,4.42,1.31,2019,4.609,"8,033",0.632,57.5,"0,538","0,077","0,762","0,736","0,336"
89,89,Mexico,5.3,8.5,2.2,127504125,21.0,74,0.613,0.779,21.3,0.022,0.3,0.97,0.26,3.74,0.58,3.77,1.39,2019,6.432,"9,891",0.852,68.6,"0,903","-0,141","0,809","0,864","0,252"
90,90,Niger,5.3,7.2,3.3,26207977,27.15,149,0.284,0.394,27.9,0.065,0.21,0.55,0.08,3.02,0.3,4.3,0.47,2019,5.004,"7,106",0.677,54.0,"0,831","0,026","0,729","0,816","0,304"
91,91,Israel,5.3,8.4,2.3,9038309,19.2,25,0.814,0.919,11.4,0.031,0.32,1.14,0.42,4.05,0.86,4.47,0.95,2019,7.332,"10,601",0.946,73.5,"0,834","0,085","0,743","0,635","0,266"
92,92,Iran,5.2,7.7,2.8,88550570,17.25,55,0.693,0.783,11.5,0.181[d],0.27,0.86,0.27,7.62,0.77,5.1,0.32,2019,5.006,,0.698,66.3,"0,623",,"0,728","0,600","0,449"
93,93,Greece,5.1,8.4,1.9,10384971,15.4,31,0.791,0.888,10.9,0.014,0.3,0.99,0.47,6.31,0.67,5.5,1.8,2019,5.952,"10,319",0.891,72.6,"0,614","-0,289","0,848","0,668","0,236"
94,94,Cambodia,4.9,7.0,2.8,16767842,26.8,104,0.475,0.594,20.0,0.091,0.28,0.33,0.09,4.71,0.44,3.04,0.79,2019,4.998,"8,387",0.759,62.0,"0,957","0,013","0,828","0,844","0,390"
